DateTime,Junction,Vehicles,Hour,DayOfWeek,Month
2015-11-01 00:00:00,1,15,0,6,11
2015-11-01 01:00:00,1,13,1,6,11
2015-11-01 02:00:00,1,10,2,6,11
2015-11-01 03:00:00,1,7,3,6,11
2015-11-01 04:00:00,1,9,4,6,11
2015-11-01 05:00:00,1,6,5,6,11
2015-11-01 06:00:00,1,9,6,6,11
2015-11-01 07:00:00,1,8,7,6,11
2015-11-01 08:00:00,1,11,8,6,11
2015-11-01 09:00:00,1,12,9,6,11
2015-11-01 10:00:00,1,15,10,6,11
2015-11-01 11:00:00,1,17,11,6,11
2015-11-01 12:00:00,1,16,12,6,11
2015-11-01 13:00:00,1,15,13,6,11
2015-11-01 14:00:00,1,16,14,6,11
2015-11-01 15:00:00,1,12,15,6,11
2015-11-01 16:00:00,1,12,16,6,11
2015-11-01 17:00:00,1,16,17,6,11
2015-11-01 18:00:00,1,17,18,6,11
2015-11-01 19:00:00,1,20,19,6,11
2015-11-01 20:00:00,1,17,20,6,11
2015-11-01 21:00:00,1,19,21,6,11
2015-11-01 22:00:00,1,20,22,6,11
2015-11-01 23:00:00,1,15,23,6,11
2015-11-02 00:00:00,1,14,0,0,11
2015-11-02 01:00:00,1,12,1,0,11
2015-11-02 02:00:00,1,14,2,0,11
2015-11-02 03:00:00,1,12,3,0,11
2015-11-02 04:00:00,1,12,4,0,11
2015-11-02 05:00:00,1,11,5,0,11
2015-11-02 06:00:00,1,13,6,0,11
2015-11-02 07:00:00,1,14,7,0,11
2015-11-02 08:00:00,1,12,8,0,11
2015-11-02 09:00:00,1,22,9,0,11
2015-11-02 10:00:00,1,32,10,0,11
2015-11-02 11:00:00,1,31,11,0,11
2015-11-02 12:00:00,1,35,12,0,11
2015-11-02 13:00:00,1,26,13,0,11
2015-11-02 14:00:00,1,34,14,0,11
2015-11-02 15:00:00,1,30,15,0,11
2015-11-02 16:00:00,1,27,16,0,11
2015-11-02 17:00:00,1,27,17,0,11
2015-11-02 18:00:00,1,24,18,0,11
2015-11-02 19:00:00,1,26,19,0,11
2015-11-02 20:00:00,1,29,20,0,11
2015-11-02 21:00:00,1,32,21,0,11
2015-11-02 22:00:00,1,30,22,0,11
2015-11-02 23:00:00,1,27,23,0,11
2015-11-03 00:00:00,1,21,0,1,11
2015-11-03 01:00:00,1,18,1,1,11
2015-11-03 02:00:00,1,19,2,1,11
2015-11-03 03:00:00,1,13,3,1,11
2015-11-03 04:00:00,1,11,4,1,11
2015-11-03 05:00:00,1,11,5,1,11
2015-11-03 06:00:00,1,11,6,1,11
2015-11-03 07:00:00,1,14,7,1,11
2015-11-03 08:00:00,1,15,8,1,11
2015-11-03 09:00:00,1,29,9,1,11
2015-11-03 10:00:00,1,33,10,1,11
2015-11-03 11:00:00,1,32,11,1,11
2015-11-03 12:00:00,1,32,12,1,11
2015-11-03 13:00:00,1,29,13,1,11
2015-11-03 14:00:00,1,27,14,1,11
2015-11-03 15:00:00,1,26,15,1,11
2015-11-03 16:00:00,1,28,16,1,11
2015-11-03 17:00:00,1,26,17,1,11
2015-11-03 18:00:00,1,25,18,1,11
2015-11-03 19:00:00,1,29,19,1,11
2015-11-03 20:00:00,1,26,20,1,11
2015-11-03 21:00:00,1,24,21,1,11
2015-11-03 22:00:00,1,25,22,1,11
2015-11-03 23:00:00,1,20,23,1,11
2015-11-04 00:00:00,1,18,0,2,11
2015-11-04 01:00:00,1,18,1,2,11
2015-11-04 02:00:00,1,13,2,2,11
2015-11-04 03:00:00,1,13,3,2,11
2015-11-04 04:00:00,1,10,4,2,11
2015-11-04 05:00:00,1,12,5,2,11
2015-11-04 06:00:00,1,13,6,2,11
2015-11-04 07:00:00,1,11,7,2,11
2015-11-04 08:00:00,1,13,8,2,11
2015-11-04 09:00:00,1,22,9,2,11
2015-11-04 10:00:00,1,26,10,2,11
2015-11-04 11:00:00,1,27,11,2,11
2015-11-04 12:00:00,1,31,12,2,11
2015-11-04 13:00:00,1,24,13,2,11
2015-11-04 14:00:00,1,23,14,2,11
2015-11-04 15:00:00,1,26,15,2,11
2015-11-04 16:00:00,1,26,16,2,11
2015-11-04 17:00:00,1,24,17,2,11
2015-11-04 18:00:00,1,23,18,2,11
2015-11-04 19:00:00,1,25,19,2,11
2015-11-04 20:00:00,1,26,20,2,11
2015-11-04 21:00:00,1,24,21,2,11
2015-11-04 22:00:00,1,26,22,2,11
